r2,rmse,mae,hit_rate,ic,rank_ic,trade_date,count
-2235.6752402644,0.6015036065812914,0.4648526235532131,0.5062344139650873,0.005020120919105271,-0.014639334499571968,2025-11-06,401
-3730.9731840155437,0.5726946456319818,0.4155143939702341,0.5174129353233831,0.021255206382986586,0.015099745543736673,2025-11-07,402
-2096.597134012822,0.5230611597765128,0.3960840917373511,0.5373134328358209,0.03332587016440407,0.02078236503847969,2025-11-10,402
-7533.749599166013,0.8565749539837454,0.568342095939079,0.5,-0.06364170680754823,0.03745598409990063,2025-11-11,400
-7847.983994253482,0.7595309998219412,0.5008875298960193,0.55,-0.05210630969508426,0.038953555959724745,2025-11-12,400
-7870.778199884484,0.803131280298075,0.5498366202075756,0.3525,-0.2470121953370153,-0.2989222432640204,2025-11-13,400
-7356.228712449732,0.7976782752177345,0.5189917113262171,0.5875,0.18122274062231167,0.2929520184501153,2025-11-14,400
-1725.4616178615922,0.5502430595687072,0.34124134152850366,0.51,-0.1958649892751373,-0.020335064594153716,2025-11-17,400
-8817.224704450507,0.9701990564447207,0.5936053496666581,0.40954773869346733,-0.2898236578958662,-0.35839840097439907,2025-11-18,398
-15661.75797773571,0.9316871655902406,0.6077059520958515,0.4396984924623116,-0.049840592610448924,-0.16258495561080338,2025-11-19,398
-3969.7420841488106,0.534023370872064,0.34234779764875595,0.44472361809045224,-0.23253003428012406,-0.31291254857648404,2025-11-20,398
-11356.038835917587,0.8716504724512293,0.6325584145944426,0.5717884130982368,0.19779621234457898,0.2751801907023861,2025-11-21,397
-4192.482710928903,0.911091653367925,0.6373270931833159,0.36272040302267,-0.21708660768363067,-0.3857529000624833,2025-11-24,397
-3660.7224013820687,0.5454231752108457,0.36172752201706004,0.5491183879093199,0.08695613218670097,0.24066385664679402,2025-11-25,397
-5349.576796528857,0.6599481020148773,0.49163962029029556,0.46851385390428213,0.0048467014101403975,0.012642788018406667,2025-11-26,397
